names	Run1_C_2	Run1_C_7	Run1_C_10	Run1_C_11	Run1_C_12	Run1_C_14	Run1_C_15	Run1_C_16	Run1_C_17	root
LOC_1	19	19	19	19	22	18	18	19	19	19
LOC_2	21	23	20	20	24	24	24	24	24	20
LOC_3	7	7	7	7	7	7	7	7	7	7
LOC_4	7	6	6	6	6	6	6	6	6	7
LOC_5	7	8	9	9	10	10	10	10	10	7
LOC_6	18	16	16	16	16	16	16	16	16	16
LOC_7	13	13	12	16	15	14	14	14	14	13
LOC_8	20	22	22	23	22	23	23	24	20	22
LOC_9	15	15	15	15	15	15	15	15	15	15
LOC_10	17	17	17	17	18	18	18	18	18	17
LOC_11	23	25	25	24	26	24	24	23	24	23
LOC_12	17	18	18	18	18	19	19	19	20	17
LOC_13	17	19	17	17	18	17	19	18	19	17
LOC_14	18	18	18	18	19	17	17	18	18	18
LOC_15	28	26	26	24	24	23	26	28	27	27
LOC_16	14	13	13	13	13	13	13	13	13	14
