names	Run1_C_6	Run1_C_7	Run1_C_8	Run1_C_12	Run1_C_13	Run1_C_14	Run1_C_15	Run1_C_16	Run1_C_17	root
LOC_1	19	20	19	19	19	19	21	18	19	19
LOC_2	22	23	20	21	21	19	19	22	22	20
LOC_3	7	7	7	7	7	7	7	7	7	7
LOC_4	7	7	7	7	7	7	7	7	7	7
LOC_5	7	7	7	8	8	7	7	8	8	7
LOC_6	16	16	16	16	14	16	16	14	13	16
LOC_7	13	13	14	13	13	13	14	14	13	13
LOC_8	22	27	22	22	22	22	23	23	25	22
LOC_9	15	15	15	15	15	15	15	15	13	15
LOC_10	17	17	17	16	16	17	17	17	17	17
LOC_11	23	23	25	24	24	22	22	24	24	23
LOC_12	17	16	17	17	17	19	17	17	17	17
LOC_13	17	17	17	17	17	17	17	17	17	17
LOC_14	18	18	18	17	17	18	18	17	17	18
LOC_15	28	26	24	25	25	24	25	21	24	27
LOC_16	14	14	15	14	14	14	14	14	14	14
LOC_17	15	15	14	14	14	15	15	14	14	15
LOC_18	26	25	25	24	24	25	25	23	23	23
LOC_19	21	21	21	21	23	23	23	25	22	22
LOC_20	18	16	16	16	16	18	18	16	16	15
LOC_21	13	13	12	14	14	14	14	12	12	13
LOC_22	21	21	20	24	22	20	20	24	24	21
LOC_23	17	16	15	16	14	16	16	16	16	16
LOC_24	24	25	22	23	24	22	22	23	23	23
LOC_25	23	24	20	19	19	22	22	19	19	22
LOC_26	15	15	15	15	15	15	15	15	15	15
LOC_27	16	17	17	16	16	17	17	17	17	17
LOC_28	19	21	21	24	23	21	21	24	24	21
LOC_29	25	29	25	26	26	25	24	26	23	25
LOC_30	21	19	20	20	18	19	19	18	18	19
LOC_31	24	23	26	26	26	22	23	27	28	26
LOC_32	20	20	20	19	19	20	20	18	18	20
LOC_33	15	15	15	17	18	15	15	14	14	15
LOC_34	14	14	14	14	14	14	14	14	14	14
LOC_35	19	19	19	19	19	19	19	19	19	19
LOC_36	20	20	20	20	21	20	20	18	19	20
LOC_37	21	21	20	21	21	21	21	17	17	21
LOC_38	17	17	16	15	15	16	16	15	17	16
LOC_39	20	20	20	21	24	18	18	18	20	20
LOC_40	14	14	14	14	15	14	14	15	14	14
LOC_41	21	21	22	22	24	23	23	22	22	21
LOC_42	19	21	19	21	21	20	20	22	21	21
LOC_43	18	18	17	17	17	18	18	17	17	18
