names	Run1_C_7	Run1_C_9	Run1_C_11	Run1_C_12	Run1_C_13	Run1_C_14	Run1_C_15	Run1_C_16	Run1_C_17	root
LOC_1	18	19	19	18	18	19	19	19	20	19
LOC_2	21	19	20	19	19	19	20	18	17	20
LOC_3	7	8	7	9	9	7	7	8	8	7
LOC_4	7	7	6	7	7	6	6	7	7	7
LOC_5	8	7	7	8	8	7	7	7	7	7
LOC_6	16	16	15	15	15	15	15	16	16	16
LOC_7	13	13	13	13	13	13	13	13	13	13
LOC_8	22	21	22	21	21	22	22	21	21	22
LOC_9	12	12	15	12	13	14	15	12	12	15
LOC_10	17	17	17	17	17	17	17	18	17	17
LOC_11	22	22	22	22	22	22	22	22	23	23
LOC_12	17	18	17	17	17	16	17	17	18	17
LOC_13	17	17	17	17	17	17	17	17	17	17
LOC_14	17	18	18	19	18	17	17	19	19	18
LOC_15	26	25	26	25	28	27	26	26	27	27
LOC_16	14	15	14	15	14	14	14	15	16	14
LOC_17	15	15	15	15	15	16	16	15	15	15
LOC_18	23	22	24	23	23	23	23	23	21	23
LOC_19	23	23	22	24	24	21	22	23	23	22
LOC_20	17	13	16	15	15	16	16	15	14	15
LOC_21	13	13	13	13	13	13	17	13	13	13
LOC_22	21	21	18	21	21	20	20	22	21	21
LOC_23	18	16	16	16	16	15	15	16	16	16
LOC_24	24	22	22	25	24	23	24	22	21	23
LOC_25	22	22	22	22	23	22	22	23	22	22
LOC_26	15	16	14	15	15	15	15	15	15	15
LOC_27	17	16	18	17	17	17	17	18	17	17
LOC_28	20	20	20	24	24	21	21	22	22	21
LOC_29	24	24	25	26	26	24	24	23	24	25
LOC_30	18	18	19	21	20	17	18	18	18	19
LOC_31	25	26	24	26	26	25	27	25	27	26
LOC_32	17	16	21	16	16	20	20	16	16	20
LOC_33	15	15	15	15	15	15	15	15	17	15
LOC_34	14	14	13	16	14	14	14	14	14	14
LOC_35	19	19	19	19	19	19	19	19	19	19
LOC_36	20	22	19	19	20	19	19	22	22	20
LOC_37	21	21	20	22	22	20	20	21	21	21
LOC_38	19	20	18	17	17	16	16	20	20	16
LOC_39	20	21	21	18	18	20	20	20	20	20
LOC_40	14	16	14	14	14	14	14	14	14	14
LOC_41	23	21	23	23	23	23	23	22	22	21
LOC_42	21	20	21	22	21	20	20	19	20	21
LOC_43	19	18	18	17	18	18	18	18	18	18
LOC_44	18	16	18	18	18	16	16	18	18	18
