names	Run1_C_4	Run1_C_7	Run1_C_8	Run1_C_9	Run1_C_10	Run1_C_11	root
LOC_1	19	16	19	19	19	19	19
LOC_2	20	20	20	19	21	21	20
LOC_3	7	7	7	7	7	7	7
LOC_4	7	7	7	7	7	7	7
LOC_5	7	7	7	7	7	7	7
LOC_6	17	17	16	16	18	21	16
LOC_7	13	14	14	14	13	13	13
LOC_8	24	22	22	22	20	20	22
LOC_9	13	15	15	15	15	15	15
LOC_10	17	17	18	18	17	17	17
LOC_11	24	26	24	25	23	23	23
LOC_12	17	17	17	17	17	17	17
LOC_13	17	17	19	19	17	17	17
LOC_14	19	18	18	18	18	18	18
LOC_15	27	25	27	23	28	28	27
LOC_16	14	14	17	17	14	14	14
LOC_17	13	13	13	13	15	15	15
LOC_18	22	21	21	22	25	21	23
LOC_19	20	21	25	24	21	21	22
LOC_20	15	15	15	15	14	14	15
LOC_21	14	13	13	13	14	14	13
LOC_22	22	20	20	21	21	20	21
LOC_23	16	16	16	16	16	16	16
LOC_24	24	24	22	22	23	22	23
LOC_25	22	22	21	21	22	22	22
LOC_26	15	15	15	16	15	15	15
LOC_27	14	17	17	17	17	17	17
LOC_28	21	21	22	22	22	22	21
LOC_29	25	27	24	25	24	23	25
LOC_30	19	20	19	19	19	19	19
LOC_31	31	31	30	29	24	24	26
LOC_32	20	21	20	20	19	19	20
LOC_33	15	15	15	15	16	16	15
LOC_34	14	17	14	14	15	16	14
LOC_35	18	18	18	15	24	21	19
LOC_36	20	20	20	20	21	20	20
LOC_37	23	22	21	21	20	19	21
LOC_38	16	16	16	16	15	17	16
LOC_39	22	20	20	20	20	21	20
LOC_40	15	14	15	15	15	15	14
LOC_41	21	21	21	21	21	21	21
LOC_42	21	21	21	21	23	22	21
LOC_43	18	18	17	19	18	18	18
LOC_44	18	16	17	18	18	17	18
LOC_45	18	18	18	14	18	18	18
LOC_46	20	20	20	20	20	20	20
LOC_47	15	15	15	15	15	15	15
LOC_48	16	16	16	16	17	17	17
LOC_49	18	16	15	16	15	15	15
LOC_50	16	16	16	16	16	16	16
LOC_51	20	20	19	20	18	22	20
LOC_52	19	17	19	19	19	19	19
LOC_53	23	23	24	24	25	24	23
LOC_54	21	20	20	21	20	18	20
LOC_55	20	21	21	21	20	20	20
LOC_56	19	19	19	19	19	19	19
LOC_57	23	23	23	23	23	23	23
LOC_58	21	21	20	20	22	21	21
LOC_59	9	9	8	9	9	9	9
LOC_60	20	20	20	20	20	21	20
LOC_61	24	24	26	26	26	25	24
LOC_62	18	23	19	18	20	19	18
LOC_63	17	17	17	17	19	17	17
LOC_64	17	17	15	17	18	17	17
LOC_65	19	17	17	17	17	17	17
LOC_66	21	21	21	21	21	20	21
LOC_67	22	22	22	22	22	22	22
LOC_68	17	15	15	15	16	16	16
LOC_69	22	21	22	22	21	21	21
LOC_70	23	22	22	22	25	24	23
LOC_71	15	15	12	12	16	16	16
LOC_72	20	21	20	20	22	23	20
LOC_73	19	19	19	18	19	19	19
LOC_74	22	22	21	21	22	22	22
LOC_75	22	21	21	22	26	26	23
LOC_76	19	21	20	20	22	22	21
LOC_77	14	14	14	14	14	14	14
LOC_78	23	23	23	23	22	22	22
LOC_79	15	15	15	15	15	15	15
LOC_80	22	23	23	22	29	25	24
LOC_81	16	15	15	15	16	16	16
LOC_82	18	18	17	17	21	21	20
LOC_83	18	18	20	21	17	18	18
LOC_84	17	15	15	16	15	15	16
LOC_85	22	21	21	20	21	21	21
LOC_86	16	16	16	16	16	16	16
LOC_87	20	20	20	19	21	20	20
LOC_88	22	23	23	23	23	23	22
LOC_89	27	24	24	24	25	28	26
LOC_90	19	20	20	19	22	20	20
LOC_91	17	17	18	16	19	17	17
LOC_92	21	25	24	24	17	19	19
LOC_93	12	12	12	12	13	12	12
LOC_94	16	15	15	15	15	15	15
LOC_95	13	13	13	14	13	13	13
LOC_96	20	20	20	23	20	18	20
LOC_97	19	20	20	20	20	18	20
LOC_98	15	15	15	15	16	15	15
LOC_99	16	16	16	16	17	15	16
LOC_100	14	14	14	14	14	14	14
LOC_101	21	21	19	20	21	21	21
LOC_102	21	19	20	20	19	19	19
LOC_103	13	13	12	13	14	14	14
LOC_104	23	22	22	22	21	20	21
LOC_105	16	16	16	16	16	16	16
LOC_106	27	29	31	29	28	28	28
LOC_107	17	13	10	10	15	15	15
LOC_108	22	21	21	21	25	23	23
LOC_109	14	14	15	13	12	14	14
LOC_110	16	16	15	15	16	16	16
LOC_111	15	15	15	15	15	15	15
LOC_112	21	21	21	22	22	23	21
LOC_113	14	14	14	14	14	14	14
LOC_114	17	17	17	17	17	17	17
LOC_115	14	12	14	14	14	14	14
LOC_116	15	14	14	14	15	14	14
LOC_117	18	20	20	21	19	17	19
LOC_118	16	16	16	15	16	17	16
LOC_119	20	24	22	23	25	27	23
LOC_120	18	19	18	18	18	17	18
LOC_121	18	18	18	18	15	18	18
LOC_122	18	18	15	18	18	18	19
LOC_123	23	23	23	24	23	24	24
LOC_124	23	22	20	20	21	20	22
LOC_125	26	26	28	26	27	25	27
LOC_126	13	14	15	14	14	14	14
LOC_127	22	24	24	24	22	22	22
LOC_128	20	21	20	20	21	22	20
LOC_129	19	17	17	17	20	19	19
LOC_130	24	24	25	23	23	23	24
LOC_131	14	17	18	17	15	15	15
LOC_132	21	23	21	19	22	21	21
LOC_133	22	21	20	20	22	22	22
LOC_134	23	23	26	25	23	23	23
LOC_135	14	14	15	15	14	14	14
LOC_136	13	15	17	15	15	15	15
LOC_137	24	24	22	22	24	24	24
LOC_138	21	22	22	22	21	22	21
LOC_139	15	17	17	17	17	17	17
LOC_140	18	21	19	21	17	17	17
LOC_141	16	16	16	16	15	19	15
LOC_142	28	30	28	28	26	26	27
LOC_143	22	21	22	22	21	22	21
LOC_144	21	19	19	19	16	16	16
LOC_145	20	20	23	22	20	20	20
LOC_146	20	22	20	21	20	20	20
LOC_147	22	21	24	21	19	19	21
LOC_148	14	15	14	14	14	14	14
LOC_149	19	18	18	18	18	18	18
LOC_150	15	15	15	15	15	15	15
LOC_151	17	16	16	16	16	16	16
LOC_152	20	22	20	20	20	20	20
LOC_153	20	20	20	20	19	19	20
LOC_154	18	18	18	18	18	18	18
LOC_155	21	20	20	20	21	21	21
LOC_156	17	16	16	18	17	17	17
LOC_157	17	17	16	17	17	17	17
LOC_158	22	22	22	22	22	22	22
LOC_159	15	15	15	15	15	15	15
LOC_160	21	19	19	19	19	19	19
LOC_161	22	23	22	22	21	19	21
LOC_162	21	21	22	21	19	20	20
LOC_163	18	18	18	18	22	22	18
LOC_164	20	20	20	20	22	21	20
LOC_165	15	16	16	16	15	15	15
LOC_166	17	17	18	17	17	17	17
LOC_167	15	18	14	14	16	17	16
LOC_168	27	28	26	26	28	27	28
LOC_169	23	23	21	21	23	22	23
LOC_170	19	19	19	19	19	19	19
LOC_171	22	21	23	23	21	21	23
LOC_172	21	22	23	22	23	22	22
LOC_173	16	16	17	16	16	16	16
LOC_174	22	22	22	22	22	22	22
LOC_175	28	27	27	27	30	25	27
LOC_176	14	14	14	14	16	16	14
LOC_177	22	23	24	24	23	24	24
LOC_178	23	23	24	25	24	23	23
LOC_179	23	23	26	25	24	23	23
LOC_180	22	21	22	22	21	21	22
LOC_181	18	18	18	18	18	18	18
LOC_182	22	21	21	21	25	24	23
LOC_183	25	24	26	26	25	25	25
LOC_184	16	16	17	16	16	16	16
LOC_185	20	20	18	18	20	20	20
LOC_186	17	17	16	17	17	17	16
LOC_187	21	21	21	22	20	20	21
LOC_188	26	25	22	24	25	24	25
LOC_189	13	14	14	14	15	15	14
LOC_190	21	22	23	23	21	20	22
LOC_191	18	16	17	19	19	18	17
LOC_192	21	23	21	21	22	21	21
LOC_193	16	17	17	17	15	16	15
LOC_194	18	17	20	19	18	18	18
LOC_195	18	18	18	19	18	18	18
LOC_196	22	22	23	23	23	23	22
LOC_197	23	22	24	24	21	20	21
LOC_198	27	27	25	26	27	26	27
LOC_199	14	14	14	14	13	14	14
LOC_200	23	23	24	23	23	24	23
LOC_201	28	25	27	28	26	23	24
LOC_202	17	17	17	17	17	19	17
LOC_203	18	18	18	18	18	18	18
LOC_204	18	19	18	17	18	19	18
LOC_205	15	16	18	16	14	15	14
LOC_206	20	20	20	21	20	20	20
LOC_207	14	14	17	18	14	15	14
LOC_208	14	14	14	14	14	14	14
LOC_209	19	17	17	17	20	18	17
LOC_210	22	21	21	23	22	25	22
LOC_211	24	26	26	25	24	28	24
LOC_212	25	23	22	23	24	24	24
LOC_213	20	19	18	16	20	19	19
LOC_214	17	17	17	17	17	17	17
LOC_215	17	17	17	17	17	16	16
LOC_216	18	18	18	16	20	20	20
LOC_217	26	25	26	27	27	23	25
LOC_218	17	17	18	14	18	18	17
LOC_219	15	15	15	15	15	15	15
LOC_220	18	18	18	18	18	16	18
LOC_221	24	24	23	23	24	24	24
LOC_222	27	26	25	23	29	30	28
LOC_223	14	14	14	14	14	14	14
LOC_224	16	16	16	16	16	16	16
LOC_225	21	22	22	22	18	19	21
LOC_226	16	16	17	16	16	16	16
LOC_227	7	7	7	7	7	7	7
LOC_228	16	16	16	16	16	15	16
LOC_229	17	17	16	16	17	17	17
LOC_230	19	18	18	19	18	18	19
LOC_231	19	19	19	19	19	19	19
LOC_232	18	18	18	18	18	18	18
LOC_233	15	15	15	15	15	15	15
LOC_234	15	15	15	15	15	16	15
LOC_235	21	22	22	23	23	23	22
LOC_236	16	17	17	17	17	19	17
LOC_237	21	19	18	19	20	21	20
LOC_238	22	21	21	21	21	22	21
LOC_239	22	23	24	23	23	22	22
LOC_240	14	14	14	14	14	13	14
LOC_241	16	17	15	16	18	18	18
LOC_242	17	18	18	18	17	17	17
LOC_243	19	18	17	17	19	19	19
LOC_244	14	15	13	15	14	14	14
LOC_245	24	23	22	25	23	22	24
LOC_246	25	24	21	25	23	23	24
LOC_247	16	16	15	15	16	16	16
LOC_248	19	19	19	19	18	19	18
LOC_249	25	24	24	24	25	24	24
LOC_250	26	27	28	27	25	24	27
LOC_251	17	17	17	18	17	17	17
LOC_252	21	20	21	20	22	23	22
LOC_253	14	14	14	14	15	16	14
LOC_254	17	15	15	15	17	15	16
LOC_255	22	23	22	25	24	25	23
LOC_256	17	17	17	17	19	19	19
LOC_257	21	20	20	20	19	18	20
LOC_258	13	13	13	13	13	13	13
LOC_259	22	22	22	22	22	20	20
LOC_260	23	22	22	22	23	22	22
LOC_261	18	18	19	19	15	15	15
LOC_262	13	13	13	13	12	13	13
LOC_263	16	16	16	16	16	16	16
LOC_264	24	22	22	22	22	22	22
LOC_265	25	25	25	25	23	24	24
LOC_266	20	19	17	17	19	19	19
LOC_267	19	18	18	18	18	18	18
LOC_268	17	17	17	17	17	17	17
LOC_269	16	18	17	19	15	15	16
LOC_270	21	21	19	19	19	19	19
LOC_271	24	24	24	26	21	24	24
LOC_272	20	24	24	23	23	23	23
LOC_273	24	25	25	24	25	25	24
LOC_274	22	21	23	23	23	23	22
LOC_275	16	15	15	15	15	15	15
LOC_276	21	19	20	20	20	20	20
LOC_277	14	14	15	15	14	14	14
LOC_278	15	15	15	15	14	14	14
LOC_279	15	15	15	15	15	15	15
LOC_280	20	19	18	18	18	18	20
LOC_281	20	20	20	20	19	19	20
LOC_282	15	14	15	17	15	15	15
LOC_283	16	13	13	13	13	13	14
LOC_284	14	15	14	14	14	14	14
LOC_285	28	27	26	25	31	29	29
LOC_286	18	19	18	18	18	17	18
LOC_287	25	26	24	24	31	30	28
LOC_288	17	17	17	18	17	17	17
LOC_289	15	16	15	15	14	15	15
LOC_290	18	19	18	20	20	20	19
LOC_291	18	18	18	18	17	18	18
LOC_292	19	18	21	21	19	19	19
LOC_293	15	15	15	15	17	15	15
LOC_294	25	25	23	24	26	24	25
LOC_295	18	19	19	19	20	19	18
LOC_296	14	15	15	15	11	12	14
LOC_297	15	15	15	15	15	15	15
LOC_298	17	16	17	16	17	16	17
LOC_299	16	16	15	15	16	18	16
LOC_300	17	16	16	15	17	15	17
LOC_301	21	21	22	23	20	20	20
LOC_302	23	25	23	22	25	24	24
LOC_303	18	18	18	18	18	17	18
LOC_304	15	14	14	14	14	14	14
LOC_305	17	17	17	17	16	17	17
LOC_306	26	26	25	26	26	26	26
LOC_307	22	21	21	21	22	23	22
LOC_308	24	22	22	22	22	22	22
LOC_309	20	24	22	24	21	22	22
LOC_310	15	14	14	14	15	15	15
LOC_311	18	18	20	20	17	17	18
LOC_312	18	18	17	18	17	18	18
LOC_313	16	17	19	19	17	15	16
LOC_314	17	17	17	16	14	14	15
LOC_315	15	15	15	15	15	15	15
LOC_316	26	27	24	25	27	27	26
LOC_317	19	19	17	16	20	21	21
LOC_318	21	21	21	21	20	20	22
LOC_319	22	22	22	22	22	21	22
LOC_320	21	21	20	20	21	21	21
LOC_321	16	16	15	16	16	16	16
LOC_322	10	12	12	12	12	12	12
LOC_323	14	14	14	14	14	14	14
LOC_324	22	20	21	21	21	21	21
LOC_325	16	18	17	19	16	16	16
LOC_326	16	16	17	16	16	16	16
LOC_327	15	17	17	17	15	15	15
LOC_328	20	21	19	20	21	20	20
LOC_329	22	23	22	23	23	22	23
LOC_330	21	22	22	22	22	22	22
LOC_331	23	20	20	20	23	24	23
LOC_332	15	15	15	15	13	13	15
LOC_333	14	14	14	14	14	13	14
LOC_334	18	18	18	19	19	20	19
LOC_335	22	23	25	25	21	23	23
LOC_336	22	21	20	21	23	25	24
LOC_337	19	19	19	20	20	20	20
LOC_338	19	19	19	18	20	20	19
LOC_339	17	17	17	18	17	19	17
LOC_340	12	13	12	12	13	14	13
LOC_341	20	21	21	22	20	20	20
LOC_342	15	15	15	15	14	14	14
LOC_343	20	19	19	19	20	21	20
LOC_344	17	17	17	17	16	16	17
LOC_345	15	16	16	16	15	15	15
LOC_346	23	24	27	26	26	25	23
LOC_347	20	24	19	19	21	21	20
LOC_348	21	22	20	20	20	20	20
LOC_349	15	16	15	15	15	15	15
LOC_350	17	17	17	17	17	17	17
LOC_351	28	29	28	27	26	26	26
LOC_352	20	20	19	20	20	21	20
LOC_353	18	18	18	18	17	16	18
LOC_354	13	15	15	15	15	15	15
LOC_355	14	16	17	16	15	14	14
LOC_356	18	18	18	19	17	17	17
LOC_357	15	18	17	17	14	16	16
LOC_358	7	7	7	7	7	7	7
LOC_359	21	19	19	19	19	19	19
LOC_360	24	24	24	24	24	23	24
LOC_361	22	22	21	20	20	23	21
LOC_362	24	20	22	23	20	21	22
LOC_363	8	8	8	8	8	8	8
LOC_364	14	14	14	14	13	14	14
LOC_365	24	25	24	25	25	24	25
LOC_366	17	17	18	17	17	17	17
LOC_367	17	17	17	17	16	18	16
LOC_368	24	24	24	24	25	25	24
LOC_369	30	27	30	27	29	27	28
LOC_370	18	19	17	17	21	21	18
LOC_371	24	23	23	23	24	20	23
LOC_372	21	21	20	21	21	21	21
LOC_373	14	14	14	14	14	14	14
LOC_374	15	15	15	15	15	15	15
LOC_375	18	19	18	19	18	18	18
LOC_376	20	19	20	20	21	20	20
LOC_377	21	23	25	25	23	23	23
LOC_378	23	23	23	23	22	23	23
LOC_379	19	19	19	19	18	18	18
LOC_380	19	20	18	17	21	21	18
LOC_381	14	14	14	14	14	13	14
LOC_382	18	18	18	18	18	16	18
LOC_383	17	17	17	17	17	17	17
LOC_384	16	15	15	15	14	14	14
LOC_385	18	18	19	18	19	18	18
LOC_386	19	19	18	19	20	19	19
LOC_387	17	17	17	17	16	16	17
LOC_388	31	27	28	27	28	27	28
LOC_389	18	18	18	18	16	18	18
LOC_390	7	7	7	8	7	7	7
LOC_391	22	22	22	21	24	24	22
LOC_392	22	22	22	22	20	22	22
LOC_393	15	15	17	17	15	15	15
LOC_394	16	15	15	16	16	16	16
LOC_395	20	19	19	18	19	19	20
LOC_396	18	17	17	19	17	17	17
LOC_397	19	18	19	19	19	18	19
LOC_398	17	20	17	18	18	18	17
LOC_399	30	29	25	25	32	31	29
LOC_400	16	17	17	20	15	15	15
LOC_401	13	13	13	13	13	13	13
LOC_402	14	15	14	14	15	15	14
LOC_403	14	15	14	14	14	14	14
LOC_404	11	10	12	12	10	10	10
LOC_405	16	16	16	16	16	18	16
LOC_406	19	19	19	19	18	18	19
LOC_407	17	20	19	19	17	17	17
