names	Run1_C_5	Run1_C_8	Run1_C_9	Run1_C_10	Run1_C_13	Run1_C_14	Run1_C_15	Run1_C_16	Run1_C_17	root
LOC_1	19	19	23	19	19	19	19	20	20	19
LOC_2	20	21	22	20	20	20	19	21	21	20
LOC_3	7	7	7	7	7	7	7	9	8	7
LOC_4	7	7	7	7	7	7	7	7	8	7
LOC_5	7	7	7	10	7	7	7	7	7	7
LOC_6	16	16	16	16	16	16	16	15	16	16
LOC_7	13	13	13	13	13	15	15	13	13	13
LOC_8	21	22	22	20	23	22	23	20	20	22
LOC_9	15	14	14	14	15	15	15	15	14	15
LOC_10	18	18	18	18	19	17	17	18	18	17
LOC_11	26	27	24	25	22	22	22	25	26	23
LOC_12	17	18	19	16	17	17	18	16	16	17
LOC_13	16	18	18	16	17	19	18	14	16	17
LOC_14	18	19	19	18	18	18	19	18	18	18
LOC_15	27	24	25	29	26	24	25	28	29	27
LOC_16	14	12	14	12	14	14	14	13	13	14
LOC_17	15	15	15	17	16	15	15	17	17	15
LOC_18	23	23	23	24	24	24	24	24	24	23
LOC_19	22	21	21	22	22	24	22	22	21	22
LOC_20	15	17	14	15	17	17	17	13	13	15
LOC_21	13	13	13	13	13	13	13	13	13	13
LOC_22	21	19	20	20	21	20	20	20	21	21
LOC_23	16	18	15	16	16	15	15	17	17	16
LOC_24	23	24	25	26	23	23	22	23	21	23
LOC_25	23	23	23	23	22	23	22	23	24	22
LOC_26	15	15	15	16	15	17	16	16	16	15
LOC_27	17	16	16	18	17	17	17	14	16	17
LOC_28	21	19	19	25	21	21	22	22	21	21
LOC_29	25	26	24	24	27	27	26	24	22	25
LOC_30	19	19	19	18	19	19	19	19	19	19
LOC_31	27	25	26	26	24	24	25	25	25	26
LOC_32	20	22	19	21	20	20	20	20	19	20
LOC_33	15	15	15	13	15	16	16	13	13	15
LOC_34	15	14	14	15	12	13	13	15	15	14
LOC_35	20	19	19	20	19	19	18	21	21	19
LOC_36	20	20	20	20	21	19	20	20	20	20
LOC_37	22	23	22	21	21	21	21	22	23	21
LOC_38	16	16	16	16	16	16	16	16	16	16
LOC_39	18	20	20	20	20	20	20	20	20	20
LOC_40	14	14	14	14	14	14	14	16	15	14
LOC_41	20	22	21	25	22	21	21	21	21	21
LOC_42	23	21	21	21	19	22	21	21	21	21
LOC_43	18	19	18	17	18	19	19	15	15	18
LOC_44	18	18	16	18	18	19	18	19	20	18
LOC_45	17	17	17	17	19	18	18	17	17	18
LOC_46	21	20	21	19	20	20	20	19	19	20
LOC_47	16	15	14	15	17	15	15	15	15	15
LOC_48	16	17	17	17	17	17	17	18	17	17
LOC_49	15	17	17	16	15	15	16	17	17	15
LOC_50	16	16	16	16	15	16	15	16	16	16
LOC_51	20	20	20	20	19	19	19	20	20	20
LOC_52	20	22	20	19	19	16	18	20	20	19
LOC_53	23	22	22	22	22	22	22	23	24	23
LOC_54	21	21	20	20	20	20	20	21	21	20
LOC_55	23	20	20	20	19	20	20	20	21	20
LOC_56	19	19	19	19	21	21	21	17	18	19
LOC_57	26	29	28	26	25	21	20	28	28	23
LOC_58	22	22	22	25	20	20	20	25	26	21
LOC_59	9	9	9	9	9	9	9	9	9	9
LOC_60	20	20	20	19	23	20	20	20	20	20
LOC_61	23	24	23	26	24	26	24	23	24	24
LOC_62	17	18	18	18	18	18	18	18	19	18
LOC_63	17	17	17	17	17	15	17	17	17	17
LOC_64	17	19	19	17	20	18	18	20	20	17
