names	Run1_C_3	Run1_C_8	Run1_C_10	Run1_C_11	Run1_C_13	Run1_C_14	Run1_C_15	Run1_C_16	Run1_C_17	root
LOC_1	19	19	19	19	19	19	20	19	18	19
LOC_2	20	20	20	20	20	20	20	20	20	20
LOC_3	7	9	9	9	7	7	7	7	7	7
LOC_4	7	7	7	7	7	7	7	7	7	7
LOC_5	7	7	7	7	7	7	7	8	7	7
LOC_6	16	15	14	15	17	16	16	16	17	16
LOC_7	13	14	12	14	15	13	13	14	14	13
LOC_8	23	22	23	23	22	22	22	22	22	22
LOC_9	16	15	15	15	15	15	15	15	15	15
LOC_10	17	17	17	17	17	17	17	17	17	17
LOC_11	23	21	21	20	21	22	20	21	21	23
LOC_12	17	19	20	18	22	20	20	22	22	17
LOC_13	17	17	16	17	18	17	17	17	17	17
LOC_14	18	21	18	18	19	18	18	18	17	18
LOC_15	30	26	25	27	26	26	27	27	25	27
LOC_16	15	14	14	14	14	16	16	14	14	14
LOC_17	15	15	15	15	15	15	15	15	15	15
LOC_18	23	21	21	21	22	22	26	22	22	23
LOC_19	19	25	22	23	24	22	24	26	26	22
LOC_20	15	15	16	16	13	15	15	16	14	15
LOC_21	13	13	13	13	13	13	14	13	13	13
LOC_22	21	21	21	21	19	22	22	23	23	21
LOC_23	15	16	16	16	16	16	16	17	19	16
LOC_24	23	22	23	23	23	23	24	23	24	23
LOC_25	21	22	24	23	25	20	22	23	22	22
LOC_26	15	16	16	17	16	16	16	16	16	15
LOC_27	17	16	16	16	16	16	16	19	16	17
LOC_28	21	20	22	21	21	21	21	21	21	21
LOC_29	25	24	24	24	26	24	24	24	26	25
LOC_30	21	18	18	17	18	19	19	18	17	19
LOC_31	26	28	28	29	25	25	26	26	26	26
LOC_32	20	23	23	22	21	20	21	21	21	20
LOC_33	15	17	13	13	16	15	15	16	16	15
LOC_34	14	14	14	14	14	14	15	14	14	14
LOC_35	19	21	22	22	22	19	19	20	20	19
LOC_36	21	20	22	22	20	20	20	20	21	20
LOC_37	21	16	20	19	20	23	24	21	20	21
LOC_38	15	16	16	16	16	16	16	16	16	16
LOC_39	20	21	20	22	20	20	20	19	17	20
LOC_40	14	14	14	14	14	14	13	14	14	14
LOC_41	21	22	22	21	23	27	23	22	22	21
LOC_42	21	21	21	21	19	20	24	24	21	21
LOC_43	18	19	17	19	18	16	16	18	18	18
LOC_44	19	20	20	21	20	18	17	21	20	18
LOC_45	18	18	18	18	18	17	17	18	18	18
LOC_46	20	20	19	19	20	20	20	20	20	20
LOC_47	16	15	15	15	15	14	14	15	16	15
LOC_48	17	19	19	19	19	18	19	19	19	17
LOC_49	16	15	15	15	16	15	15	17	17	15
LOC_50	16	16	16	16	16	16	16	15	16	16
LOC_51	20	22	23	22	21	22	22	21	21	20
LOC_52	18	19	19	19	20	19	18	20	20	19
LOC_53	22	27	25	27	28	25	23	27	28	23
LOC_54	20	21	21	22	20	23	21	22	20	20
LOC_55	20	20	20	20	20	20	21	20	19	20
LOC_56	19	19	19	18	20	20	21	20	21	19
LOC_57	22	22	19	23	20	24	23	19	19	23
LOC_58	21	21	21	21	21	20	21	19	20	21
LOC_59	9	10	10	10	11	9	9	11	11	9
LOC_60	19	21	22	20	20	20	20	20	21	20
LOC_61	24	25	27	27	25	21	24	26	30	24
LOC_62	18	19	19	19	19	19	19	19	19	18
LOC_63	17	18	18	18	17	15	15	17	17	17
LOC_64	17	18	18	18	18	17	16	20	17	17
LOC_65	17	16	18	17	17	18	18	17	17	17
LOC_66	21	20	20	21	21	20	17	21	21	21
LOC_67	22	23	23	24	21	22	22	22	22	22
LOC_68	16	16	16	16	16	16	16	16	16	16
LOC_69	21	21	20	19	23	19	18	22	23	21
LOC_70	22	23	23	22	25	27	25	24	24	23
LOC_71	16	16	15	15	16	17	17	17	16	16
LOC_72	22	23	24	26	20	20	20	20	20	20
LOC_73	18	18	18	18	18	19	19	19	17	19
LOC_74	22	21	21	21	21	21	21	21	20	22
LOC_75	23	22	22	20	23	23	24	21	23	23
LOC_76	21	21	21	21	22	22	20	22	22	21
LOC_77	14	14	14	14	14	14	14	14	14	14
LOC_78	21	24	24	24	24	23	23	24	23	22
LOC_79	15	14	13	14	15	15	15	17	17	15
LOC_80	24	24	23	25	26	24	23	25	26	24
LOC_81	15	16	19	19	16	16	16	16	16	16
LOC_82	20	20	21	21	21	21	20	21	21	20
LOC_83	18	17	18	17	17	18	18	17	17	18
LOC_84	16	17	17	17	17	17	17	13	14	16
LOC_85	22	19	19	19	21	20	20	21	21	21
LOC_86	16	16	15	15	17	15	16	16	16	16
