names	Run1_C_4	Run1_C_6	Run1_C_7	Run1_C_10	Run1_C_12	Run1_C_13	Run1_C_14	Run1_C_16	Run1_C_17	root
LOC_1	19	19	19	19	19	19	22	22	21	19
LOC_2	21	21	22	19	20	20	21	21	21	20
LOC_3	7	7	7	8	8	8	7	7	7	7
LOC_4	7	7	7	7	7	7	6	7	7	7
LOC_5	7	7	7	7	7	7	7	7	7	7
LOC_6	18	16	16	17	17	17	18	19	19	16
LOC_7	13	13	13	14	13	13	13	13	13	13
LOC_8	22	22	22	20	20	19	19	15	19	22
LOC_9	15	15	15	14	15	15	15	15	15	15
LOC_10	17	19	17	17	17	17	17	18	17	17
LOC_11	23	23	24	25	26	27	23	24	23	23
LOC_12	17	18	18	15	17	17	15	15	15	17
LOC_13	17	17	17	19	19	19	18	18	18	17
LOC_14	18	18	18	17	17	17	18	18	18	18
LOC_15	28	26	27	26	25	26	26	26	25	27
LOC_16	13	12	14	14	15	15	16	16	16	14
LOC_17	15	12	12	13	15	15	17	16	16	15
LOC_18	26	23	23	24	26	26	24	23	23	23
LOC_19	21	22	22	22	22	22	21	20	20	22
LOC_20	14	14	14	14	14	13	15	15	15	15
LOC_21	14	13	13	16	16	17	15	15	15	13
LOC_22	21	22	22	21	21	21	21	21	21	21
LOC_23	16	16	16	16	16	16	16	17	16	16
LOC_24	24	22	22	23	24	23	23	22	22	23
LOC_25	22	22	22	21	20	20	22	21	24	22
LOC_26	17	15	15	16	16	16	17	16	17	15
LOC_27	17	17	17	21	18	17	19	17	18	17
LOC_28	22	18	21	22	24	25	19	20	20	21
LOC_29	24	25	26	25	24	24	24	24	24	25
LOC_30	20	18	19	19	19	19	21	21	23	19
LOC_31	24	26	27	25	24	25	23	30	28	26
LOC_32	21	20	20	19	16	16	19	19	19	20
LOC_33	15	15	15	16	16	16	15	15	15	15
LOC_34	17	13	13	15	15	15	15	15	14	14
LOC_35	20	20	20	20	19	19	19	18	19	19
LOC_36	21	20	20	20	21	20	20	21	20	20
LOC_37	20	21	21	20	21	21	22	20	20	21
LOC_38	16	16	16	16	17	17	16	16	16	16
LOC_39	20	20	20	19	18	18	19	19	17	20
LOC_40	15	14	15	15	16	16	16	17	17	14
LOC_41	21	21	21	22	22	21	22	22	22	21
LOC_42	20	21	21	20	19	20	19	18	18	21
LOC_43	18	18	18	19	18	18	18	18	18	18
LOC_44	18	18	18	18	17	18	18	18	18	18
LOC_45	18	19	19	21	20	20	20	19	19	18
LOC_46	20	19	20	21	20	19	22	20	21	20
LOC_47	15	14	14	15	15	15	17	15	15	15
LOC_48	17	18	17	17	17	17	17	18	17	17
LOC_49	15	16	16	15	15	15	15	15	15	15
LOC_50	16	16	16	18	18	19	18	18	18	16
LOC_51	21	20	21	20	22	22	21	23	20	20
LOC_52	19	19	19	20	19	19	20	19	19	19
LOC_53	24	24	25	23	25	29	24	24	26	23
LOC_54	20	19	21	19	18	19	19	21	19	20
LOC_55	20	21	21	20	20	19	20	20	20	20
LOC_56	19	19	19	19	19	19	19	19	20	19
LOC_57	22	23	25	27	26	28	25	24	24	23
LOC_58	21	22	22	19	20	21	22	22	21	21
LOC_59	9	9	9	10	9	9	8	8	8	9
LOC_60	20	20	20	20	20	22	20	20	20	20
LOC_61	24	24	23	24	25	24	24	25	26	24
LOC_62	18	18	18	20	19	20	18	18	18	18
LOC_63	17	17	17	17	17	17	17	17	17	17
LOC_64	18	18	17	19	17	17	17	18	19	17
LOC_65	17	19	17	20	17	18	17	18	17	17
LOC_66	21	22	21	23	23	23	22	23	22	21
LOC_67	21	22	22	25	26	28	24	24	24	22
LOC_68	16	16	16	16	15	16	16	16	16	16
LOC_69	21	20	21	21	23	23	21	21	22	21
LOC_70	24	26	23	22	24	25	25	27	29	23
LOC_71	17	16	16	17	17	17	17	17	17	16
LOC_72	22	21	22	22	22	22	22	25	22	20
LOC_73	19	19	19	19	19	18	20	19	19	19
LOC_74	22	22	22	21	22	22	24	24	24	22
LOC_75	25	25	22	24	25	25	25	25	25	23
LOC_76	24	20	21	20	21	21	20	21	21	21
LOC_77	14	12	12	14	14	14	16	16	16	14
LOC_78	21	22	22	22	23	23	21	20	21	22
LOC_79	14	14	16	15	15	15	15	16	18	15
LOC_80	25	23	22	28	28	29	25	24	27	24
LOC_81	16	18	18	16	16	16	16	16	18	16
LOC_82	20	20	19	20	20	20	20	16	22	20
LOC_83	18	18	19	18	19	19	18	18	18	18
LOC_84	15	16	16	15	15	15	15	15	17	16
LOC_85	21	21	21	20	20	20	21	21	22	21
LOC_86	15	16	16	18	18	18	17	17	17	16
LOC_87	20	21	21	19	20	19	21	22	21	20
LOC_88	20	22	22	22	22	22	21	23	22	22
LOC_89	27	28	29	28	26	28	28	29	28	26
LOC_90	20	19	20	20	20	20	20	20	20	20
LOC_91	17	17	17	17	18	18	20	19	19	17
LOC_92	19	19	19	17	19	19	17	17	17	19
LOC_93	12	13	14	10	10	10	13	13	12	12
LOC_94	15	15	15	15	15	15	14	15	14	15
LOC_95	13	12	12	13	13	14	13	13	13	13
LOC_96	20	20	21	21	21	21	21	20	20	20
LOC_97	20	20	20	20	20	20	20	20	19	20
LOC_98	15	15	15	15	15	15	15	15	15	15
LOC_99	17	16	16	17	17	17	17	17	17	16
LOC_100	14	15	15	16	16	16	16	16	15	14
LOC_101	21	21	21	21	21	21	21	21	21	21
LOC_102	20	19	20	19	19	18	21	21	21	19
LOC_103	14	14	14	14	15	14	14	14	14	14
LOC_104	22	22	22	24	23	22	25	26	26	21
LOC_105	16	16	16	16	15	16	16	16	16	16
LOC_106	27	30	30	25	25	27	26	27	25	28
LOC_107	16	17	17	15	15	15	15	16	15	15
LOC_108	21	23	23	23	24	24	23	21	21	23
LOC_109	14	14	14	14	14	14	14	14	14	14
LOC_110	18	16	16	16	14	16	19	15	15	16
LOC_111	15	15	15	15	15	15	15	17	18	15
LOC_112	23	20	20	22	22	21	23	23	23	21
LOC_113	13	14	15	15	15	15	16	15	14	14
LOC_114	17	17	17	17	17	17	17	17	17	17
LOC_115	14	15	15	14	14	14	14	14	14	14
LOC_116	14	14	14	14	14	14	15	15	15	14
LOC_117	19	23	23	20	20	21	20	18	18	19
LOC_118	16	16	16	17	16	16	16	16	17	16
LOC_119	25	23	25	24	24	24	25	26	25	23
LOC_120	18	18	18	19	19	19	21	20	21	18
LOC_121	18	18	18	18	18	18	19	21	20	18
LOC_122	17	19	18	17	18	19	18	18	18	19
LOC_123	24	24	22	30	26	26	23	25	25	24
LOC_124	21	19	22	22	25	25	22	22	20	22
LOC_125	27	27	27	27	28	28	28	25	29	27
LOC_126	14	14	14	14	14	15	14	14	14	14
LOC_127	21	22	22	22	22	23	22	22	19	22
LOC_128	21	19	20	22	23	23	22	23	23	20
LOC_129	18	19	19	18	18	18	19	19	19	19
LOC_130	24	23	23	22	23	24	22	22	22	24
LOC_131	14	15	15	15	15	15	15	16	15	15
LOC_132	21	21	21	18	23	24	21	21	21	21
